Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1070841181,G,5.8658,1.1699,-4.9893,2.8522,5.1246,0.5312,-1.3405,1,G,6.1366,-1.7688,4.8802,3.2714,5.1909,0.5946,1.9185,-1,10.3048
167807,1071189062,G,67.3547,17.6280,0.1443,65.0068,17.6285,2.0160,0.0082,-1,G,16.3711,-11.0687,11.4606,3.7604,15.9330,0.2339,2.3388,1,45.8627
167807,1071239614,G,14.2256,5.1421,-5.2062,-12.1989,7.3175,-1.2840,-0.7916,-1,G,6.6331,-4.7533,4.5560,0.7975,6.5841,0.1208,2.3774,1,17.4506
167807,1071277294,G,10.6650,10.1670,3.1125,0.8224,10.6328,0.0773,0.2971,-1,G,22.0863,20.4855,7.8920,-2.4193,21.9531,-0.1100,0.3677,1,3.0698
167807,1071436350,G,15.8160,4.2400,11.5900,-9.8908,12.3412,-0.7338,1.2201,1,G,10.8816,2.0585,7.1587,-7.9318,7.4488,-0.9265,1.2908,-1,1.9822
167807,1071638358,G,6.8145,-1.6112,3.3822,-5.6913,3.7464,-1.2053,2.0154,-1,G,5.9747,3.9383,-1.6840,-4.1640,4.2832,-0.8616,-0.4041,1,7.6247
167807,1072121165,G,92.5724,17.4872,34.1964,84.2285,38.4082,1.5268,1.0981,-1,G,32.2973,-18.8484,-26.2169,-0.7166,32.2891,-0.0222,-2.1941,1,92.4806
167807,1072233317,G,29.6967,-17.5005,1.6996,23.9317,17.5828,1.1152,3.0448,-1,G,20.5808,-12.9704,0.1563,15.9781,12.9713,1.0362,3.1296,1,1.7628
167807,1072253429,G,24.2721,5.1261,-5.0736,23.1755,7.2124,1.8838,-0.7802,1,T,27.4862,5.4639,-8.1108,25.6874,9.7795,1.6933,-0.9780,-1,2.3156
167807,1071215871,G,6.2782,-4.6618,3.9973,-1.3015,6.1410,-0.2104,2.4328,1,G,18.1019,-11.5412,12.0424,-7.0321,16.6799,-0.4100,2.3350,-1,2.2657
167807,1071360383,G,8.3932,4.3536,3.4329,-6.3005,5.5442,-0.9746,0.6677,1,G,7.0621,-4.5636,-4.0256,3.5820,6.0079,0.5476,-2.4200,-1,15.2014
167807,1071417071,G,10.2384,-9.4363,-3.7934,-1.1745,10.1702,-0.1152,-2.7594,1,T,19.6529,-19.2373,-3.9449,0.7688,19.6376,0.0391,-2.9393,-1,3.3570
167807,1071473959,G,14.0678,5.8105,-4.4069,-12.0295,7.2927,-1.2750,-0.6489,-1,G,6.2402,-4.5410,3.8582,-1.8500,5.9587,-0.3057,2.4373,1,14.7601
167807,1071483583,G,25.6334,-9.9344,-5.4932,-22.9824,7.3479,-1.4552,-2.6279,1,G,18.6815,16.5835,0.0014,8.6009,17.4819,0.4982,0.0007,-1,41.0197
167807,1071855919,G,26.6457,5.8287,3.6307,-25.7454,6.8670,-2.0320,0.5571,-1,G,8.8790,-6.2631,-3.2549,-5.3857,7.0584,-0.7035,-2.6623,1,17.1036
167807,1071245022,G,18.7202,-16.5212,-8.5088,-2.2552,18.5835,-0.1211,-2.6660,1,G,13.9881,-11.0824,-7.7340,-3.6087,13.5142,-0.2640,-2.5323,-1,3.1088
167807,1071322318,G,32.0055,6.0794,-5.7131,30.8989,8.3426,2.0202,-0.7543,-1,G,22.6006,-5.5499,4.9783,21.3352,7.4555,1.7738,2.4104,1,15.8935
167807,1071875438,G,10.1846,2.3908,3.8478,9.1211,4.5300,1.4497,1.0148,-1,G,8.0553,2.6658,1.7756,7.3904,3.2030,1.5732,0.5876,1,1.6958
167807,1072075517,G,138.8950,6.9797,57.0107,-126.4620,57.4364,-1.5304,1.4490,-1,G,104.5660,14.6589,-36.1114,-97.0317,38.9733,-1.6434,-1.1852,1,91.7522
167807,1071379731,G,57.7038,3.7834,36.5598,44.4835,36.7551,1.0225,1.4677,-1,G,33.6014,-8.0380,-26.2282,-19.4040,27.4322,-0.6587,-1.8682,1,87.0793
167807,1071430427,G,7.5820,-2.0389,-3.1123,6.6055,3.7207,1.3384,-2.1508,-1,T,4.1077,-1.3007,-0.4801,3.8652,1.3864,1.7491,-2.7880,1,1.7194
167807,1071454539,G,11.5090,5.3171,3.5855,9.5560,6.4131,1.1892,0.5933,1,G,5.0591,-4.0906,-2.9636,-0.2593,5.0513,-0.0513,-2.5146,-1,13.6448
167807,1071488371,G,13.5005,1.1486,-2.8226,13.1516,3.0473,2.1686,-1.1843,-1,G,10.4527,-2.5407,-4.7276,8.9690,5.3671,1.2861,-2.0639,1,5.0488
167807,1071503139,G,6.8471,-0.8320,4.2542,5.2992,4.3348,1.0303,1.7639,-1,G,12.4744,-0.7753,8.8969,8.7088,8.9306,0.8637,1.6577,1,1.2498
167807,1071853003,G,7.8767,-1.8824,-1.3238,7.5323,2.3013,1.9014,-2.5287,1,T,8.9492,1.3131,-1.0047,8.7945,1.6534,2.3732,-0.6531,-1,3.2864
167807,1071915811,G,12.7646,3.9609,10.7623,-5.6041,11.4681,-0.4711,1.2181,1,G,10.5447,5.7470,7.5929,-4.5277,9.5226,-0.4592,0.9229,-1,3.0840
167807,1072292818,G,12.4645,-6.9569,-3.4470,-9.7505,7.7641,-1.0512,-2.6816,1,G,30.4953,-16.5230,-7.0285,-24.6483,17.9558,-1.1220,-2.7394,-1,1.1041
167807,1072304434,G,11.2540,-3.3328,2.9012,-10.3497,4.4187,-1.5870,2.4253,1,G,9.2554,4.0459,1.3854,8.2075,4.2766,1.4069,0.3299,-1,19.9289
167807,1072316090,G,72.9026,-17.5565,14.5888,69.2366,22.8268,1.8289,2.4482,1,G,24.6585,13.4587,-13.2411,-15.8608,18.8802,-0.7637,-0.7772,-1,81.5510
167807,1071250799,G,16.3844,-15.5298,-5.0403,1.3626,16.3273,0.0834,-2.8278,1,G,20.8574,13.6567,9.9515,-12.2263,16.8978,-0.6718,0.6297,-1,35.2321
167807,1071475583,G,10.9479,8.9362,4.8274,4.0846,10.1568,0.3920,0.4953,1,G,17.8957,10.4294,13.6222,5.0901,16.2438,0.2924,0.9169,-1,5.6886
167807,1071485303,G,16.1958,-3.8417,-9.0104,12.8976,9.7952,1.0886,-1.9738,1,G,17.2727,-2.2144,-10.1811,13.7759,10.4191,1.0919,-1.7850,-1,1.9171
167807,1071502911,G,17.8901,-12.4127,-4.1473,12.1971,13.4239,0.8323,-2.8188,-1,G,37.3141,-24.4943,-9.0160,26.6659,23.0894,0.8966,-2.7879,1,1.3300
167807,1071650311,G,20.7010,4.0466,-5.9048,-19.4237,7.1584,-1.7237,-0.9700,1,G,8.7049,-3.8881,5.7941,-5.2034,6.9778,-0.6897,2.1618,-1,16.0680
167807,1071867135,G,22.4220,-3.2628,-4.7043,-21.6785,5.7251,-2.0416,-2.1772,-1,G,12.8473,5.3277,4.5097,-10.7851,6.9801,-1.2195,0.7024,1,13.6283
167807,1071986873,G,22.6169,1.8626,14.8821,-16.9283,14.5769,-0.9696,1.4466,1,G,5.6264,1.3353,-2.4815,4.8687,2.8180,1.3148,-1.0771,-1,22.0963
167807,1071993310,G,19.8433,7.0502,18.0472,4.2824,19.3755,0.2193,1.1984,1,G,16.1368,3.5019,15.4408,3.1150,15.8329,0.1955,1.3478,-1,2.6557
167807,1072251718,G,26.3759,-11.6487,0.1038,23.6638,11.6492,1.4576,3.1327,1,G,14.2069,6.5865,3.1093,12.1973,7.2836,1.2879,0.4411,-1,18.0277
167807,1071272425,G,11.9093,-0.0639,6.2450,10.1399,6.2453,1.2614,1.5810,1,G,6.7428,0.8119,-6.1941,-2.5354,6.2471,-0.3955,-1.4405,-1,17.0151
167807,1071282233,G,49.9104,24.0700,9.6515,-42.6441,25.9329,-1.2723,0.3813,-1,G,9.2285,-3.6022,-8.0843,-2.6121,8.8505,-0.2910,-1.9900,1,32.0609
167807,1071484569,G,41.2540,10.3200,-19.9382,-34.6099,22.4507,-1.2176,-1.0932,-1,G,22.3693,-8.7371,18.2527,-9.5330,20.2360,-0.4552,2.0172,1,45.7600
167807,1071844113,G,9.8175,-2.4370,-4.6635,-8.2876,5.2619,-1.2357,-2.0523,1,G,8.5333,1.7469,5.1026,-6.6120,5.3933,-1.0325,1.2409,-1,10.6811
167807,1071877201,G,13.8478,7.9196,5.1888,-10.1048,9.4680,-0.9281,0.5800,-1,G,13.2820,-7.0332,-3.6870,-10.6462,7.9410,-1.1030,-2.6587,1,17.3892
167807,1072014832,G,15.5327,1.9887,-8.4105,-12.9059,8.6424,-1.1911,-1.3386,-1,G,13.5598,7.3298,2.4775,11.1352,7.7372,1.1605,0.3259,1,26.8552
167807,1072143432,G,16.9258,3.9836,1.4483,16.3861,4.2387,2.0617,0.3487,1,G,7.3229,-3.9944,-2.0949,5.7680,4.5104,1.0655,-2.6586,-1,9.8375
