Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173430,198771678,G,49.5744,-26.9894,-33.0428,-25.246,42.6644,-0.5617,-2.2557,-1,G,44.2605,24.0927,36.9033,4.0827,44.0717,0.0925,0.9924,1,91.2897
173430,199815506,G,69.6722,2.661,46.2028,-52.0809,46.2794,-0.9673,1.5133,-1,G,48.2315,-8.1489,-42.251,-21.7879,43.0297,-0.4869,-1.7613,1,91.6457
173430,200015852,G,26.435,-7.9954,25.1164,-2.0086,26.3583,-0.0761,1.879,1,G,41.1706,5.8892,-28.5408,29.0817,29.1421,0.8799,-1.3673,-1,61.8174
173430,199369751,G,181.2,-12.2132,-34.3749,177.49,36.4801,2.2857,-1.9122,-1,G,60.9367,9.19,32.9114,50.4545,34.1704,1.1817,1.2985,1,81.6106
173430,199802042,G,91.6247,5.2687,-38.4054,83.0201,38.7651,1.5052,-1.4345,1,G,56.7971,36.2193,34.8252,26.4815,50.2457,0.5053,0.7658,-1,91.1283
173430,200035009,G,56.4362,-33.7428,-20.0709,-40.5415,39.2609,-0.9043,-2.605,1,G,41.0566,22.0578,17.0738,-30.126,27.8937,-0.9368,0.6587,-1,66.0714
173430,198407381,G,26.89,-23.7454,-6.0439,-11.0765,24.5025,-0.4379,-2.8924,-1,G,65.1199,58.6208,20.4795,-19.6157,62.0952,-0.3109,0.3361,1,78.097
173430,199944791,G,61.1158,-19.7142,31.9787,48.2063,37.5671,1.0682,2.1232,-1,G,39.8598,24.7979,-31.0679,-2.9395,39.7511,-0.0739,-0.8972,1,90.1128
173430,198628818,G,96.9257,-22.6468,-1.5242,94.2304,22.698,2.1308,-3.0744,-1,G,29.3795,27.4891,8.2583,-6.2683,28.7028,-0.2167,0.2918,1,90.2599
173430,198774924,G,43.0674,24.9659,7.0851,-34.37,25.9518,-1.0932,0.2765,-1,G,72.632,-30.2019,-25.3549,-60.9949,39.4338,-1.2204,-2.4432,1,62.6953
173430,195119916,G,84.8885,42.3453,17.0197,-71.5769,45.6376,-1.2321,0.3822,-1,G,47.8217,-42.5223,2.2669,-21.7628,42.5827,-0.4911,3.0883,1,92.3455
173430,195730157,G,39.5406,3.7055,24.5264,30.7925,24.8047,1.0422,1.4208,-1,G,42.8588,5.0777,-40.8725,-11.8543,41.1867,-0.284,-1.4472,1,78.0171
173430,195407668,G,39.2367,28.413,-20.341,-17.8451,34.9436,-0.4907,-0.6213,-1,G,35.8374,-28.5135,20.1818,-7.9988,34.9332,-0.227,2.5257,1,70.4853
173430,195726436,G,308.013,23.2319,51.5321,-302.782,56.5268,-2.3801,1.1473,1,G,102.898,2.4973,-26.2162,-99.4713,26.3349,-2.0392,-1.4758,-1,75.7486
173430,195673707,G,55.9782,8.3147,-42.5693,35.3875,43.3737,0.745,-1.3779,1,G,46.7936,-16.0986,42.3552,11.6833,45.3115,0.2551,1.934,-1,91.0262
173430,195929826,G,180.071,-15.2194,45.4504,173.575,47.9309,1.9985,1.8939,-1,G,103.776,15.9145,-37.7617,95.3425,40.9782,1.5809,-1.1719,1,90.5149
173430,195550663,G,99.4542,-25.5249,26.532,-92.3887,36.8166,-1.6507,2.3369,1,G,43.0964,33.0375,-22.9195,-15.5082,40.2092,-0.3767,-0.6065,-1,92.7871
173430,195617160,G,143.35,32.6261,-20.7642,138.035,38.6732,1.9846,-0.5668,1,G,53.4525,-38.4769,5.4451,36.702,38.8603,0.8416,3.001,-1,89.0471
173430,195164694,G,41.2292,-32.5125,-12.1724,22.2399,34.7164,0.6033,-2.7833,1,G,68.5337,61.0349,-4.1261,30.8963,61.1742,0.4857,-0.0675,-1,90.2513
173430,201868956,G,130.061,21.9445,-14.436,-127.381,26.2671,-2.2825,-0.5819,-1,G,31.5394,-26.4407,1.6021,-17.1186,26.1978,-0.608,3.0811,1,71.061
